Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2019M02,226.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,General government,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Financial corporations,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,General government,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2019M02,4159.8,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Financial corporations,2019M02,1453.3,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,General government,2019M02,0.0,2019,2
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Households,2019M02,1143.0,2019,2
